experiment_id,baseline,qkd_availability_config,device_count,payload_class,network_load,n_transactions,n_success,successful_transmission_rate,key_establishment_ms_mean,key_establishment_ms_median,key_establishment_ms_p95,key_establishment_ms_ci95_low,key_establishment_ms_ci95_high,payload_encryption_ms_mean,end_to_end_ms_mean,end_to_end_ms_median,end_to_end_ms_p95,communication_overhead_bytes_mean,fallback_frequency
baseline=B2_qkd=100_devices=10_payload=medium_load=nominal_seed=1801823908,B2,1.0,10,medium,nominal,500,500,1.0,0.241220278001947,0.21696200002452315,0.4047521000160256,0.23450875800017457,0.24817183000232035,0.03230231600036859,11.660959074002315,11.662431499962683,12.943698050062864,5581,nan
baseline=B2_qkd=100_devices=1000_payload=medium_load=nominal_seed=1194819984,B2,1.0,1000,medium,nominal,50000,49850,0.997,0.24291025905710226,0.22119199996950556,0.4003387499864175,0.24224845097299325,0.24364097358064213,0.04054087877634816,11.687493349267754,11.689000999981637,12.996788100020561,5581,nan
baseline=B3_qkd=0_devices=10_payload=medium_load=nominal_seed=196814233,B3,0.0,10,medium,nominal,500,100,0.2,0.16139115000214588,0.1449954999941383,0.27548210003374146,0.14851682000141864,0.17523476000008031,0.03240367000103106,11.601374980003177,11.66583050001837,13.00195729997937,3309,nan
baseline=B3_qkd=0_devices=1000_payload=medium_load=nominal_seed=1242911821,B3,0.0,1000,medium,nominal,50000,100,0.002,0.18522379000103228,0.16306550000422249,0.3134042999619169,0.17190492000167978,0.19932933999655233,0.039440090001221506,11.686615560002254,11.715332500007229,12.92954819997253,3309,nan
baseline=B3_qkd=50_devices=10_payload=medium_load=nominal_seed=1259191105,B3,0.5,10,medium,nominal,500,345,0.69,0.17620897391172574,0.14602999999624444,0.34915080001383114,0.1676924057937538,0.18550612463593058,0.031210846376272482,11.689079089853216,11.721693000001022,12.957872200053423,3309,nan
baseline=B3_qkd=50_devices=1000_payload=medium_load=nominal_seed=1553210608,B3,0.5,1000,medium,nominal,50000,25018,0.50036,0.17332621948211435,0.15212400001018977,0.32242544998553047,0.17236199928063572,0.17428842829169042,0.038470625829304446,11.613614316252342,11.61206349998268,12.923617900004192,3309,nan
baseline=B3_qkd=100_devices=10_payload=medium_load=nominal_seed=186618211,B3,1.0,10,medium,nominal,500,497,0.994,0.16302005834954458,0.14251800001829906,0.2946667999822239,0.15717062172831026,0.16959592756418868,0.02778335815032248,11.586954917505903,11.585015999982511,12.833913199962364,3309,nan
baseline=B3_qkd=100_devices=1000_payload=medium_load=nominal_seed=1625792787,B3,1.0,1000,medium,nominal,50000,49839,0.99678,0.16650221501242213,0.1451670000278682,0.31204290000346185,0.16586689355737505,0.1671980745199721,0.03693735769183847,11.607586930074994,11.604819000011194,12.915883500022522,3309,nan
baseline=B4_qkd=0_devices=10_payload=medium_load=nominal_seed=2294113287,B4,0.0,10,medium,nominal,500,100,0.2,0.27516107999417727,0.24679199998445256,0.46309284994094924,0.2574543799960338,0.29426921998606304,0.03349702999798865,11.749262269992165,11.782032499991546,12.924158599869267,5581,nan
baseline=B4_qkd=0_devices=1000_payload=medium_load=nominal_seed=1051454923,B4,0.0,1000,medium,nominal,50000,100,0.002,0.2617903700024726,0.24416799993787208,0.4124538500263952,0.2472991400122737,0.2789107900059662,0.036610750011050186,11.581320000013523,11.576308500019257,12.88165789991794,5581,nan
